Language,Wiki,Depth
Atayal,tay,0.7007272978573748
Wu Chinese,wuu,0.5888953500486637
Kyrgyz,ky,0.5654006175157528
Haitian Creole,ht,0.48930084186442696
Northern Sotho,nso,0.33674624097240935
Egyptian Arabic,arz,0.3113685650346236
Silesian,szl,0.2918775442024791
Kotava,avk,0.19380121739213846
Saraiki,skr,0.09768477088496898
Ladin,lld,0.0013820961234089714
