Language,Wiki,Total_Pages,Articles,Non_Articles,Edits,Admins,Users,Active_Users,Depth,Depth_simple,Depth+,Depth+_simple
Fula,ff,3415,1025,2390,30576,2,8602,38,48.678594777737224,48.67859477773723,0.18444978414019364,0.18444978414019364
Oromo,om,4278,1319,2959,39863,1,10286,23,46.89532376978525,46.89532376978524,0.04674236528439634,0.04674236528439634
Norwegian (Bokmål),no,1754135,611610,1142525,23546460,42,582457,1152,46.84301911429244,46.84301911429244,2.0830113898059257,2.0830113898059257
Franco-Provençal,frp,16191,5671,10520,219517,2,15702,24,46.655910706469534,46.65591070646953,0.07688415453110435,0.07688415453110438
Yiddish,yi,44413,15510,28903,587181,3,48475,48,45.91178041208947,45.91178041208948,0.07318763000403929,0.0731876300040393
West Flemish,vls,21612,7781,13831,312440,5,25901,27,45.67809698471523,45.678096984715225,0.1339390064000426,0.1339390064000426
Dutch Low Saxon,nds-nl,20681,7671,13010,323482,6,27136,28,44.99136946433743,44.991369464337424,0.16423561833739062,0.16423561833739062
Corsican,co,15263,6577,8686,384409,2,21235,37,43.92761346212629,43.92761346212629,0.11591111417076974,0.11591111417076974
Afrikaans,af,380029,108244,271785,2573697,13,162832,193,42.69568447356741,42.69568447356741,0.2620132372630643,0.26201323726306425
Lao,lo,13488,3990,9498,101160,3,17318,31,42.49910678953022,42.499106789530224,0.09587508151369299,0.095875081513693
Romansh,rm,9623,3760,5863,164095,3,19493,23,41.46187719310179,41.46187719310178,0.09412117053874064,0.09412117053874061
Mon,mnw,6281,1789,4492,40304,4,3214,18,40.45555567660146,40.45555567660148,0.3609403106450244,0.3609403106450244
Northern Sámi,se,20928,7842,13086,302097,5,27712,21,40.19563018041461,40.195630180414604,0.09126834861280315,0.09126834861280314
Azerbaijani,az,532905,194501,338404,7046287,16,270573,680,40.02559824840394,40.02559824840394,0.9250572708253585,0.9250572708253585
Abkhaz,ab,22028,6074,15954,126400,2,19019,19,39.587821775575094,39.58782177557509,0.030113603265838222,0.030113603265838226
Marathi,mr,304855,92519,212336,2276594,9,154102,164,39.33486538000463,39.33486538000463,0.1641583766076304,0.1641583766076304
Albanian,sq,276837,90427,186410,2553366,11,152234,266,39.19503926431225,39.19503926431225,0.3654455546187508,0.3654455546187507
Catalan,ca,1818831,728729,1090102,31731159,29,451277,1232,39.0387366621599,39.03873666215991,2.0661420540308355,2.0661420540308355
Finnish,fi,1449934,553804,896130,21545097,33,546870,1611,38.90720887232716,38.90720887232715,2.337440307034016,2.3374403070340155
Komi,kv,17400,5507,11893,141872,1,13973,21,38.02770600096092,38.02770600096092,0.026463874049278475,0.026463874049278475
Tahitian,ty,3003,1219,1784,53283,1,7225,9,38.002802585980746,38.00280258598075,0.03234663732763315,0.032346637327633154
Lingala,ln,8717,3328,5389,122710,4,12621,15,36.91158055332944,36.91158055332944,0.10836655312612248,0.10836655312612249
Chavacano (Zamboanga),cbk-zam,8281,3128,5153,112508,1,14081,14,36.871212204345994,36.871212204345994,0.022252999344312588,0.02225299934431259
Tamil,ta,489385,154256,335129,3720236,35,219792,279,35.88060253704903,35.88060253704903,0.7337534378798183,0.7337534378798182
Venda,ve,2255,748,1507,19819,1,7689,10,35.674549731853084,35.67454973185309,0.023029101026549544,0.02302910102654954
Udmurt,udm,18522,5594,12928,123540,3,14554,22,35.623573280408245,35.62357328040824,0.06990209041734811,0.06990209041734811
Xhosa,xh,4037,1331,2706,34770,1,12548,17,35.59962431383752,35.599624313837516,0.023723026250276592,0.02372302625027659
Sakizaya,szy,5571,2512,3059,131525,1,2688,12,35.01021967924021,35.01021967924021,0.12834737051419032,0.1283473705141903
Shilha,shi,4499,1536,2963,42174,2,2210,29,34.882666198432005,34.882666198432005,0.47457510904258265,0.47457510904258265
Belarusian (Taraškievica),be-tarask,237098,82947,154151,2394375,4,80560,130,34.87832379123392,34.878323791233925,0.12114174578203384,0.12114174578203382
Erzya,myv,28094,7804,20290,143574,4,12462,25,34.54552479537191,34.54552479537191,0.1066201431763433,0.10662014317634329
Amharic,am,46165,15202,30963,375821,1,43328,54,33.771691473588874,33.771691473588874,0.02066501027877314,0.020665010278773138
Fijian,fj,3645,1277,2368,35629,1,8834,12,33.61148511528428,33.611485115284275,0.024621854038423045,0.02462185403842304
Faroese,fo,40546,13929,26617,372246,3,28539,33,33.524349225927175,33.52434922592719,0.060857993993559185,0.060857993993559185
Amis,ami,1862,816,1046,37734,1,1572,22,33.29938556304875,33.29938556304876,0.3635505729009161,0.36355057290091614
Polish,pl,3618297,1570051,2048246,70318965,99,1241069,4306,33.07538963127892,33.07538963127892,8.708631332401648,8.708631332401648
Friulian,fur,8855,3849,5006,171871,2,13904,18,32.832194105183056,32.832194105183056,0.06536115441663595,0.06536115441663595
Bishnupriya Manipuri,bpy,63282,25090,38192,890864,2,24441,20,32.61930425724817,32.61930425724816,0.03507066279403167,0.03507066279403166
Yakut,sah,49865,16559,33306,396742,3,23712,45,32.18763723639097,32.18763723639098,0.09111005497515141,0.0911100549751514
Lezgian,lez,13772,4348,9424,92122,3,10388,21,31.423736767942128,31.423736767942138,0.08792668394990191,0.08792668394990193
Georgian,ka,473161,168119,305042,4514336,6,151015,252,31.41019427579822,31.410194275798226,0.17332431205922808,0.17332431205922808
Somali,so,26633,9471,17162,252880,1,35113,88,31.177300994505615,31.177300994505615,0.04312024208811126,0.04312024208811126
Icelandic,is,147112,56744,90368,1805649,19,91675,149,31.129681669311992,31.12968166931199,0.6036273462839624,0.6036273462839624
Sindhi,sd,56768,15462,41306,243535,4,17058,29,30.61630213498492,30.616302134984913,0.0779354670587052,0.07793546705870519
Slovene,sl,457597,181261,276336,6018414,21,222313,378,30.567863187249756,30.56786318724976,0.7159426270607256,0.7159426270607256
Turkmen,tk,16378,6703,9675,239883,3,26754,38,30.514208777998867,30.51420877799887,0.090081682196379,0.090081682196379
Palatine German,pfl,6928,2742,4186,90416,4,11387,12,30.415920056170417,30.415920056170425,0.08398487907189085,0.08398487907189085
Sranan Tongo,srn,2742,1118,1624,39377,1,7446,11,30.30146443027733,30.30146443027733,0.030816907147186393,0.030816907147186393
West Frisian,fy,157637,51530,106107,1119686,8,46001,81,30.116595327070655,30.116595327070655,0.20602964453860703,0.20602964453860706
Saterland Frisian,stq,10755,4094,6661,122112,5,13047,15,30.05599572538473,30.055995725384737,0.10619159059953065,0.10619159059953066
Galician,gl,495437,196690,298747,6399395,8,135905,280,29.798405471934263,29.798405471934263,0.32335854077303,0.32335854077303
Pangasinan,pag,6512,2510,4002,76001,1,7992,10,29.669596524188396,29.669596524188393,0.023283743287175505,0.0232837432871755
Permyak,koi,11592,3443,8149,60959,1,8313,13,29.458732155933447,29.45873215593345,0.01946401042178835,0.01946401042178835
Nigerian Pidgin,pcm,1713,676,1037,20979,3,918,17,28.819838373558888,28.819838373558888,1.0437271370687777,1.0437271370687777
Uzbek,uz,851931,239432,612499,3740012,19,98250,577,28.728632613152513,28.728632613152513,1.253108338343677,1.2531083383436772
