Language,Wiki,Articles
Santali,sat,8342.0
West Flemish,vls,7781.0
Amharic,am,7499.0
Sardinian,sc,7400.0
Eastern Min,cdo,7340.0
Dutch Low Saxon,nds-nl,7179.0
Igbo,ig,7170.0
Māori,mi,7133.0
Cornish,kw,7016.0
Bihari (Bhojpuri),bh,7010.0
Dagbani,dag,6907.0
Gorontalo,gor,6903.0
Veps,vep,6853.0
Gilaki,glk,6816.0
Moroccan Arabic,ary,6713.0
Turkmen,tk,6702.0
Lhasa Tibetan,bo,6581.0
Corsican,co,6577.0
Võro,fiu-vro,6501.0
Northern Sámi,se,6391.0
Abkhaz,ab,6074.0
Kabyle,kab,6024.0
Kinyarwanda,rw,6014.0
Manx,gv,5960.0
Nahuatl,nah,5927.0
Gan Chinese,gan,5893.0
Zeelandic,zea,5736.0
Saraiki,skr,5717.0
Franco-Provençal,frp,5671.0
Picard,pcd,5535.0
Komi,kv,5507.0
Udmurt,udm,5442.0
Maltese,mt,5375.0
Guarani,gn,5274.0
Inari Sámi,smn,5097.0
Kashubian,csb,5090.0
Aymara,ay,5058.0
Norman,nrm,4848.0
Lezgian,lez,4348.0
Lingua Franca Nova,lfn,4201.0
Mirandese,mwl,4156.0
Livvi-Karelian,olo,4145.0
Uyghur,ug,4137.0
Saterland Frisian,stq,4094.0
Kashmiri,ks,4017.0
Lao,lo,3990.0
Friulian,fur,3849.0
Old English,ang,3829.0
Romansh,rm,3760.0
Judaeo-Spanish,lad,3627.0
Konkani (Goan Konkani),gom,3574.0
Extremaduran,ext,3488.0
Permyak,koi,3443.0
Tuvan,tyv,3437.0
Lower Sorbian,dsb,3342.0
Avar,av,3337.0
Lingala,ln,3328.0
Doteli,dty,3327.0
Karakalpak,kaa,3325.0
Sicilian,scn,3309.0
Moksha,mdf,3252.0
Papiamento,pap,3222.0
Twi,tw,3184.0
Chavacano (Zamboanga),cbk-zam,3121.0
Maldivian,dv,3030.0
Erzya,myv,2855.0
Buryat (Russia Buriat),bxr,2772.0
Palatine German,pfl,2741.0
Luganda,lg,2703.0
Zhuang (Standard Zhuang),za,2600.0
Sakizaya,szy,2512.0
Pangasinan,pag,2510.0
Hawaiian,haw,2500.0
Awadhi,awa,2434.0
Atayal,tay,2430.0
Pa'O,blk,2391.0
Ripuarian,ksh,2368.0
Ingush,inh,2174.0
Kalmyk Oirat,xal,2049.0
Pennsylvania Dutch,pdc,2003.0
Tongan,to,1964.0
Atikamekw,atj,1955.0
Somali,so,1950.0
Aramaic (Syriac),arc,1886.0
Tulu,tcy,1881.0
Mon,mnw,1789.0
Jamaican Patois,jam,1707.0
Karachay-Balkar,krc,1703.0
Kabiye,kbp,1697.0
Wolof,wo,1668.0
Kabardian,kbd,1605.0
Nias,nia,1569.0
Gagauz,gag,1561.0
Shilha,shi,1536.0
Kikuyu,ki,1505.0
N'Ko,nqo,1481.0
Novial,nov,1467.0
Bislama,bi,1411.0
Tok Pisin,tpi,1359.0
Tetum,tet,1350.0
Xhosa,xh,1328.0
Lojban,jbo,1328.0
Oromo,om,1316.0
Kongo (Kituba),kg,1277.0
Fijian,fj,1256.0
Tahitian,ty,1219.0
Lak,lbe,1217.0
Gun,guw,1207.0
Old Church Slavonic,cu,1200.0
Seediq,trv,1136.0
Sranan Tongo,srn,1118.0
Samoan,sm,1076.0
Southern Altai,alt,1068.0
French Guianese Creole,gcr,1064.0
Tswana,tn,1052.0
Cherokee,chr,1051.0
Latgalian,ltg,1042.0
Madurese,mad,1033.0
Fula,ff,1025.0
Chewa,ny,1023.0
Sotho,st,914.0
Aromanian,roa-rup,904.0
Norfuk,pih,897.0
Gothic,got,872.0
Romani (Vlax Romani),rmy,855.0
Ewe,ee,832.0
Amis,ami,816.0
Bambara,bm,792.0
Venda,ve,748.0
Tsonga,ts,741.0
Cheyenne,chy,696.0
Nigerian Pidgin,pcm,676.0
Swazi,ss,673.0
Tyap,kcg,638.0
Kirundi,rn,633.0
Chamorro,ch,544.0
Frafra,gur,536.0
Iñupiaq,ik,504.0
Pontic Greek,pnt,487.0
Adyghe,ady,477.0
Wayuu,guc,473.0
Inuktitut,iu,451.0
Paiwan,pwn,331.0
Sango,sg,315.0
Dinka,din,309.0
Tigrinya,ti,265.0
Greenlandic,kl,243.0
Dzongkha,dz,237.0
Cree,cr,161.0
Pali,pi,16.0
Akan,ak,
